id,week,section,phase,topic,book_ref,resource_type,resource_name,url,time_estimate,priority,system_connect,deliverable,status,completed_date,quiz_score,quiz_date,quiz_notes,gaps
1,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",Book (FREE),Chip Huyen AI Engineering — Ch 1 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,All 3 apps — you ARE the AI engineer case study,"Read Ch 1 summary, note the 3 layers of the AI stack",KNOWN,,KNOWN,2026-05-03,"Nailed AI eng vs ML eng distinction, foundation model def, 'should you build it?' question. Needs: memorize evolution chain + 8 use case categories",
2,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",Book (FREE),Chip Huyen AI Engineering — Full TOC (GitHub),https://raw.githubusercontent.com/chiphuyen/aie-book/main/ToC.md,15min,MUST,See the full scope of AI Engineering as a discipline,Skim TOC to understand what the field covers,PRIORITY,,,,Quick skim for scope,
3,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",YouTube,Chip Huyen — Building LLM Applications for Production (conference talks),https://www.youtube.com/results?search_query=chip+huyen+building+llm+applications+production,1hr,MUST,Your production deployment decisions,Map your 3 apps to the 3 layers of the AI stack,PRIORITY,,,,For vocabulary polish,
4,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",YouTube,Latent Space podcast — AI Engineer vs ML Engineer,https://www.youtube.com/results?search_query=latent+space+ai+engineer+vs+ml+engineer,1hr,NICE,Career positioning,List what you do vs ML eng vs full-stack eng,SKIP,,,,Already articulated the distinction clearly in quiz,
5,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",Exercise,Write 60-second elevator pitch,N/A,30min,MUST,Use vocabulary from Ch 1 summary,DELIVERABLE: Written pitch — 'I build AI agent systems that run in production...',PRIORITY,,,,Do after watching Chip Huyen talk — use her vocabulary,
6,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",Book (FREE),Chip Huyen AI Engineering — Ch 2 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"Transformers, attention, tokenization, model size tradeoffs, sampling, structured outputs","Read summary, note: architecture, scaling laws, sampling strategies, structured outputs",IN_PROGRESS,,CLOSE,2026-05-03,Knows: transformer parallelization + param/cost tradeoffs. Gaps: tokenization (skipped entirely) + attention vocab (has intuition not terms) + param≠vocabulary confusion,"tokenization,attention vocab,parameter count"
7,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,3Blue1Brown: But what is a GPT? Visual intro to transformers,https://www.youtube.com/watch?v=wjZofJX0v4M,27min,MUST,Understanding WHY your models work,Explain transformer architecture in your own words after watching,PRIORITY,,,,Covers tokenization + attention gaps in one video,"tokenization,attention vocab"
8,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,3Blue1Brown: Attention in transformers visually explained,https://www.youtube.com/watch?v=eMlx5fFNoYc,25min,MUST,"Why your embedding search retrieves what it does (DamiraAI pgvector, AuraLogical market tools)",Explain key/query/value to someone,PRIORITY,,,,Closes attention vocab gap — query/key/value,attention vocab
9,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,Andrej Karpathy: Intro to Large Language Models,https://www.youtube.com/watch?v=zjkBMFhNj_g,1hr,MUST,"Training, RLHF, capabilities, security — general but deep",Write down 3 things you didn't know about how LLMs work,PRIORITY,,,,Transformer intuition + training pipeline overview,
10,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,Andrej Karpathy: Deep Dive into LLMs like ChatGPT,https://www.youtube.com/results?search_query=karpathy+deep+dive+llms+chatgpt,3.5hr,NICE,Full training stack — pre-training through RLHF,"Watch in 45-min chunks over the week, take notes",NOT_STARTED,,,,Optional — watch if time allows after priorities,
11,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",Blog,Jay Alammar: The Illustrated Transformer,https://jalammar.github.io/illustrated-transformer/,1hr,MUST,Visual diagram-heavy explainer — read like a picture book,Sketch the transformer architecture from memory after reading,PRIORITY,,,,Attention diagrams — makes query/key/value click,attention vocab
12,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",Free Course,Hugging Face NLP Course Ch 1: Transformer Models,https://huggingface.co/learn/nlp-course/chapter1,1.5hr,NICE,"Interactive, visual, free",Complete the interactive exercises,NOT_STARTED,,,,Optional — do if 3B1B + Alammar aren't enough,
13,3,core,Phase 1: AI Engineering Core,"Sampling, Structured Outputs, Non-Determinism","Chip Huyen Ch 2 p88-111 (sampling, test-time compute, structured outputs)",Docs,OpenAI Structured Outputs guide,https://platform.openai.com/docs/guides/structured-outputs,45min,MUST,Your validation gate uses response_format json_object (ceo_brain.py line 699),Find your structured output code and explain it using formal terms,PRIORITY,,,,Knows the concept. Read docs to get formal terms,
14,3,core,Phase 1: AI Engineering Core,"Sampling, Structured Outputs, Non-Determinism","Chip Huyen Ch 2 p88-111 (sampling, test-time compute, structured outputs)",Docs,Anthropic Tool Use guide,https://docs.anthropic.com/en/docs/build-with-claude/tool-use,45min,MUST,Same concept different API — function calling / tool use,Compare Anthropic vs OpenAI tool calling approaches,PRIORITY,,,,,
15,3,core,Phase 1: AI Engineering Core,"Sampling, Structured Outputs, Non-Determinism","Chip Huyen Ch 2 p88-111 (sampling, test-time compute, structured outputs)",YouTube,Search: temperature top-p sampling LLM explained,https://www.youtube.com/results?search_query=temperature+top-p+sampling+LLM+explained,1hr,MUST,Why your agent responses vary — temperature/sampling controls,Write what temperature=0 vs temperature=1 means for your agents,PRIORITY,,,,Knows temperature intuitively. Needs top-p/top-k vocabulary + probability distribution framing,top-p/top-k
16,3,core,Phase 1: AI Engineering Core,"Sampling, Structured Outputs, Non-Determinism","Chip Huyen Ch 2 p88-111 (sampling, test-time compute, structured outputs)",Exercise,Map to your code,N/A,30min,MUST,Your sparring mode detection = deterministic routing to control non-deterministic behavior,"Find structured output code in ceo_brain.py, sparring signal detection in ops_agent.py — write 3 sentences explaining each using formal terms",PRIORITY,,,,Also add: search 'test-time compute explained' — new concept he didn't know. Hot 2025-2026 interview topic,test-time compute
17,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,Book (FREE),Chip Huyen AI Engineering — Ch 3 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"Perplexity, exact eval, AI-as-Judge, comparative eval — formal names for your rubric-based evals",Note: your DamiraAI rubrics = AI-as-a-Judge pattern,NOT_STARTED,,,,,
18,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,Book (OWNED),LLM Engineer's Handbook — Ch 7: Evaluating LLMs,You own this book,2-3hr,MUST,Hands-on eval implementation — compare to your DamiraAI 961 tests,Read chapter and map eval methods to your existing test suite,NOT_STARTED,,,,,
19,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,Book (NEED TO BUY),SPARE NEEDED (was DMLS) — Ch 6: Model Development and Offline Evaluation,You own this book,1-2hr,NICE,Evaluation concepts that apply to LLMs too — offline eval methodology,Note evaluation concepts that transfer to your LLM evals,NOT_STARTED,,,,,
20,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,Free Course,DeepLearning.AI: Building and Evaluating Advanced RAG,https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,1hr,MUST,"RAG triad: context relevance, groundedness, answer relevance — maps to your DamiraAI evals",Complete the interactive notebook,NOT_STARTED,,,,,
21,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,YouTube,Hamel Husain — Your AI Product Needs Evals (conference talks),https://www.youtube.com/results?search_query=hamel+husain+your+ai+product+needs+evals,1.5hr,MUST,Production eval frameworks — why tests alone aren't enough,Take notes on eval vs testing distinction,NOT_STARTED,,,,,
22,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,Docs,RAGAS docs — concepts section,https://docs.ragas.io/,45min,NICE,"Faithfulness, relevancy metrics — formal vocabulary",Map your DamiraAI metrics to RAGAS vocabulary,NOT_STARTED,,,,,
23,4,core,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Chip Huyen Ch 3 + LLM Eng Handbook Ch 7 + DMLS Ch 6,Exercise,Write evaluation mapping table,N/A,30min,MUST,Your eval system formalized,"DELIVERABLE: Table mapping your tests to formal names — 961 tests = functional correctness, rubrics = AI-as-Judge, golden datasets = reference-based, 97.1% routing = classification eval",NOT_STARTED,,,,,
24,5,core,Phase 1: AI Engineering Core,Model Selection and Cost/Latency Tradeoffs,Chip Huyen Ch 4 + LLM Eng Handbook Ch 1,Book (FREE),Chip Huyen AI Engineering — Ch 4 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"Model selection workflow, build vs buy, evaluation pipeline design",Note the 3-step evaluation pipeline design framework,CLOSE,,CLOSE,2026-05-03,"Lives this daily — Qwen for CS (cheap) vs Grok 4 for CEO (expensive/multimodal). Needs formal vocab: cost-latency frontier, benchmark navigation",
25,5,core,Phase 1: AI Engineering Core,Model Selection and Cost/Latency Tradeoffs,Chip Huyen Ch 4 + LLM Eng Handbook Ch 1,Website,Artificial Analysis — live model comparisons,https://artificialanalysis.ai/,1hr,MUST,"Speed, cost, quality comparisons — you already use OpenRouter for this",Compare your model choices against benchmark data,PRIORITY,,,,Learn the formal comparison frameworks,
26,5,core,Phase 1: AI Engineering Core,Model Selection and Cost/Latency Tradeoffs,Chip Huyen Ch 4 + LLM Eng Handbook Ch 1,Website,LMSys Chatbot Arena,https://lmarena.ai/,30min,NICE,How comparative evaluation works at scale,Understand Elo rating system for models,NOT_STARTED,,,,,
27,5,core,Phase 1: AI Engineering Core,Model Selection and Cost/Latency Tradeoffs,Chip Huyen Ch 4 + LLM Eng Handbook Ch 1,YouTube,Simon Willison — How to evaluate LLM applications,https://www.youtube.com/results?search_query=simon+willison+evaluate+llm+applications,1hr,MUST,Practical eval approach from a practitioner,Take notes on eval strategy,NOT_STARTED,,,,,
28,5,core,Phase 1: AI Engineering Core,Model Selection and Cost/Latency Tradeoffs,Chip Huyen Ch 4 + LLM Eng Handbook Ch 1,Exercise,Document your model registry formally,N/A,1hr,MUST,Your model_registry.py IS a model selection framework,"DELIVERABLE: For each agent write WHY that model — cost ($0.14/M DeepSeek for routine), latency, reasoning depth (Grok 4 for strategy), vision (Qwen for payment screenshots)",PRIORITY,,,,Can already explain tradeoffs verbally — write it down as formal doc,
29,6,core,Phase 1: AI Engineering Core,Prompt Engineering and Security,Chip Huyen Ch 5,Book (FREE),Chip Huyen AI Engineering — Ch 5 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"Defensive prompting, prompt injection, jailbreaking — formal attack taxonomy",Map your CS bot prompt hardening to the formal categories,NOT_STARTED,,,,,
30,6,core,Phase 1: AI Engineering Core,Prompt Engineering and Security,Chip Huyen Ch 5,Docs,Anthropic Prompt Engineering Guide,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering,1.5hr,MUST,Best-in-class prompt guide — visual examples,Compare your 300-line system prompts against best practices,NOT_STARTED,,,,,
31,6,core,Phase 1: AI Engineering Core,Prompt Engineering and Security,Chip Huyen Ch 5,YouTube,Simon Willison — Prompt Injection talks,https://www.youtube.com/results?search_query=simon+willison+prompt+injection+talk+2024,1hr,MUST,"Attack taxonomy, real examples, defenses",Audit your CS bot prompt hardening against the taxonomy,NOT_STARTED,,,,,
32,6,core,Phase 1: AI Engineering Core,Prompt Engineering and Security,Chip Huyen Ch 5,Docs,OWASP Top 10 for LLMs — Prompt Injection (#1),https://genai.owasp.org/llmrisk/llm01-prompt-injection/,45min,MUST,Prompt injection = #1 LLM vulnerability,"DELIVERABLE: Map your CS bot rules (never reveal costs/margins/suppliers, hardcoded prompt, Langfuse override disabled) to OWASP categories",NOT_STARTED,,,,,
33,7,core,Phase 2: RAG + Agents + Architecture,RAG Architecture,Chip Huyen Ch 6 p253-274 + LLM Eng Handbook Ch 4 + Ch 9,Book (FREE),Chip Huyen AI Engineering — Ch 6 Summary (RAG section),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"RAG architecture, retrieval algorithms, optimization — formal vocabulary for DamiraAI","Read RAG portion of Ch 6 summary, note: term-based vs embedding-based retrieval",NOT_STARTED,,,,,
34,7,core,Phase 2: RAG + Agents + Architecture,RAG Architecture,Chip Huyen Ch 6 p253-274 + LLM Eng Handbook Ch 4 + Ch 9,Book (OWNED),LLM Engineer's Handbook — Ch 4: RAG Feature Pipeline,You own this book,2-3hr,MUST,Hands-on RAG pipeline — compare to your DamiraAI pipeline architecture,"Read chapter, note chunking strategy and embedding choices",NOT_STARTED,,,,,
35,7,core,Phase 2: RAG + Agents + Architecture,RAG Architecture,Chip Huyen Ch 6 p253-274 + LLM Eng Handbook Ch 4 + Ch 9,Book (OWNED),LLM Engineer's Handbook — Ch 9: RAG Inference Pipeline,You own this book,2hr,MUST,Production RAG patterns — retrieval optimization at inference time,"Read chapter, compare retrieval strategy to your hybrid semantic+BM25 approach",NOT_STARTED,,,,,
36,7,core,Phase 2: RAG + Agents + Architecture,RAG Architecture,Chip Huyen Ch 6 p253-274 + LLM Eng Handbook Ch 4 + Ch 9,Udemy,Production AI Agents with LangChain + LangGraph — RAG sections,https://www.udemy.com/course/production-ai-agents/,3hr,MUST,"Video walkthrough of production RAG — chunking, vector stores, retrieval","Follow along, compare to DamiraAI pipeline",NOT_STARTED,,,,,
37,7,core,Phase 2: RAG + Agents + Architecture,RAG Architecture,Chip Huyen Ch 6 p253-274 + LLM Eng Handbook Ch 4 + Ch 9,YouTube,James Briggs: Chatbots with RAG — LangChain Full Walkthrough,https://www.youtube.com/results?search_query=james+briggs+chatbots+rag+langchain+full+walkthrough,2hr,MUST,End-to-end RAG: chunking → embedding → vector store → retrieval → generation,Compare his architecture to your DamiraAI pipeline,NOT_STARTED,,,,,
38,7,core,Phase 2: RAG + Agents + Architecture,RAG Architecture,Chip Huyen Ch 6 p253-274 + LLM Eng Handbook Ch 4 + Ch 9,Docs,Pinecone: What is RAG? (visual learning center),https://www.pinecone.io/learn/retrieval-augmented-generation/,1hr,NICE,Visual RAG explainer with diagrams,DELIVERABLE: Draw DamiraAI RAG diagram — ingestion → chunking → embedding (text-embedding-3-small) → indexing (HNSW pgvector) → retrieval (hybrid semantic+BM25) → reranking (FlashRank) → generation. INTERVIEW DIAGRAM #1,NOT_STARTED,,,,,
39,8,core,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Chip Huyen Ch 6 p275-305 (agents section),Book (FREE),Chip Huyen AI Engineering — Ch 6 Summary (Agents section),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"Agent overview, tools, planning, failure modes, memory — formal vocabulary",Note agent failure modes taxonomy and memory types,NOT_STARTED,,,,,
40,8,core,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Chip Huyen Ch 6 p275-305 (agents section),YouTube,Andrew Ng: Agentic Design Patterns (DeepLearning.AI),https://www.youtube.com/results?search_query=andrew+ng+agentic+design+patterns+deeplearning.ai,1hr,MUST,THE foundational framework — reflection + tool use + planning + multi-agent,Map your coordinator-subagent pattern to Ng's taxonomy,NOT_STARTED,,,,,
41,8,core,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Chip Huyen Ch 6 p275-305 (agents section),Blog,Anthropic: Building Effective Agents,https://www.anthropic.com/engineering/building-effective-agents,1hr,MUST,Production agent patterns from the company that makes Claude,Compare their recommendations to your agent architecture,NOT_STARTED,,,,,
42,8,core,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Chip Huyen Ch 6 p275-305 (agents section),Blog,Lilian Weng: LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,1.5hr,MUST,Comprehensive survey with diagrams — tool use + planning + memory,Take notes on agent memory types (your Redis sessions = short-term),NOT_STARTED,,,,,
43,8,core,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Chip Huyen Ch 6 p275-305 (agents section),YouTube,James Briggs: LangChain Agent Executor Deep Dive,https://www.youtube.com/watch?v=iN1Xx8ca_8I,30min,NICE,How agent execution works under the hood — tool calling loops,Compare to your agent's message extraction loop in ops_agent.py,NOT_STARTED,,,,,
44,8,core,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Chip Huyen Ch 6 p275-305 (agents section),Udemy,Production AI Agents — agent architecture sections,https://www.udemy.com/course/production-ai-agents/,2hr,MUST,Multi-agent orchestration patterns — coordinator + workers,"DELIVERABLE: Write 5 failure stories in STAR format — (1) tool call JSON leak, (2) empty responses, (3) thinking preamble leak, (4) intent misclass, (5) context overflow",NOT_STARTED,,,,,
45,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,Book (FREE),Chip Huyen AI Engineering — Ch 10 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,5-step architecture: context → guardrails → router → cache → agents → observability. THIS IS YOUR SYSTEM,Map each step to your actual implementation,NOT_STARTED,,,,,
46,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,Book (OWNED),LLM Engineer's Handbook — Ch 11: MLOps and LLMOps,You own this book,2-3hr,MUST,"CI/CD for AI, monitoring, deployment practices",Read chapter — this fills your MLOps/CI gap,NOT_STARTED,,,,,
47,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,Book (NEED TO BUY),SPARE NEEDED (was DMLS) — Ch 8: Data Distribution Shifts and Monitoring,You own this book,1-2hr,MUST,"Drift detection, monitoring in production — directly relevant",Note monitoring patterns you could apply to your agents,NOT_STARTED,,,,,
48,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,Book (NEED TO BUY),SPARE NEEDED (was DMLS) — Ch 9: Continual Learning and Testing in Production,You own this book,1-2hr,NICE,Production testing strategies — A/B testing for models,Note testing patterns that apply to your model routing,NOT_STARTED,,,,,
49,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,YouTube,Langfuse — Open Source LLM Observability Explained,https://www.youtube.com/watch?v=kIf1Ng76cmc,30min,MUST,"You USE Langfuse — learn the formal concepts (traces, spans, generations, scores)",Map your Langfuse setup to the formal vocabulary,NOT_STARTED,,,,,
50,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,YouTube,Search: LLM observability production monitoring tracing,https://www.youtube.com/results?search_query=LLM+observability+production+monitoring+tracing+2024,1hr,NICE,"Tracing, cost tracking, drift detection concepts",Compare your OpenLIT → Grafana Tempo (DamiraAI) to standard approaches,NOT_STARTED,,,,,
51,9,core,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Chip Huyen Ch 10 + LLM Eng Handbook Ch 11 + DMLS Ch 8-9,Exercise,Draw AI architecture diagram,N/A,1.5hr,MUST,Your system as the 5-step pattern,DELIVERABLE: Draw diagram — (1) middleware injects context → (2) validation gate = guardrail → (3) model_registry = router → (4) Redis sessions = cache → (5) agents + tools → Langfuse traces. INTERVIEW DIAGRAM #2,NOT_STARTED,,,,,
52,10,core,Phase 3: Python Architecture Patterns,Domain Modeling and Repository Pattern,Arch Patterns Ch 1-2 (cosmicpython.com FREE),YouTube,ArjanCodes: Deep Dive Into Repository Design Pattern in Python,https://www.youtube.com/watch?v=9ymRLDfnDKg,25min,MUST,YOUR tools/market_tools.py IS this pattern — now learn the name,Write 3 sentences explaining your tools as repository pattern,NOT_STARTED,,,,,
53,10,core,Phase 3: Python Architecture Patterns,Domain Modeling and Repository Pattern,Arch Patterns Ch 1-2 (cosmicpython.com FREE),YouTube,ArjanCodes: Software Design in Python (playlist — first 3-4 videos),https://www.youtube.com/playlist?list=PLC0nd42SBTaNuP4iB4L6SJlMaHE71FG6N,2hr,MUST,Python design patterns — all code-on-screen practical,Watch repository + factory + strategy pattern videos,NOT_STARTED,,,,,
54,10,core,Phase 3: Python Architecture Patterns,Domain Modeling and Repository Pattern,Arch Patterns Ch 1-2 (cosmicpython.com FREE),Udemy,Domain Driven Design: Complete Software Architecture Course,https://www.udemy.com/course/domain-driven-design-complete-software-architecture-course/,2hr (DDD sections),MUST,DDD building blocks — bounded contexts + aggregates + entities,Map your 3-bot security boundary to bounded contexts,NOT_STARTED,,,,,
55,10,core,Phase 3: Python Architecture Patterns,Domain Modeling and Repository Pattern,Arch Patterns Ch 1-2 (cosmicpython.com FREE),Free Book,cosmicpython.com Ch 1-2 (diagrams + code),https://www.cosmicpython.com/,1hr,NICE,Free online book — skim diagrams for visual reinforcement,Compare book diagrams to your code structure,NOT_STARTED,,,,,
56,11,core,Phase 3: Python Architecture Patterns,"Service Layer, Testing, Dependency Injection",Arch Patterns Ch 3-6 (cosmicpython.com FREE),YouTube,ArjanCodes: Stop Hardcoding Everything — Dependency Injection,https://www.youtube.com/watch?v=Xhzn1eAxoXk,20min,MUST,Your agents hardcode urllib.request and settings.openrouter_api_key inside tools — DI fixes this,Identify 3 places in your code where DI would improve testability,NOT_STARTED,,,,,
57,11,core,Phase 3: Python Architecture Patterns,"Service Layer, Testing, Dependency Injection",Arch Patterns Ch 3-6 (cosmicpython.com FREE),YouTube,ArjanCodes: Dependency Injection Explained in 7 Minutes,https://www.youtube.com/watch?v=DpMGEhwuuyA,7min,MUST,Quick primer on DI concept,Understand constructor injection vs hardcoded dependencies,NOT_STARTED,,,,,
