id,week,section,phase,topic,book_ref,resource_type,resource_name,url,time_estimate,priority,system_connect,deliverable,status,completed_date,quiz_score,quiz_date,quiz_notes,gaps
58,11,core,Phase 3: Python Architecture Patterns,"Service Layer, Testing, Dependency Injection",Arch Patterns Ch 3-6 (cosmicpython.com FREE),YouTube,ArjanCodes — search service layer + unit of work on channel,https://www.youtube.com/results?search_query=arjancodes+service+layer+python,1hr,MUST,"run_ops_agent() IS your service layer — FastAPI calls it, it orchestrates, returns string","Write interview answer: 'My agent system uses a service layer pattern — the FastAPI endpoint calls run_ops_agent() which orchestrates tool calls, model routing, and response extraction'",NOT_STARTED,,,,,
59,11,core,Phase 3: Python Architecture Patterns,"Service Layer, Testing, Dependency Injection",Arch Patterns Ch 3-6 (cosmicpython.com FREE),YouTube,Search: test pyramid python explained,https://www.youtube.com/results?search_query=test+pyramid+python+explained,30min,NICE,Unit vs integration vs e2e — where your 961 DamiraAI tests sit,Categorize your tests by pyramid level,NOT_STARTED,,,,,
60,11,core,Phase 3: Python Architecture Patterns,"Service Layer, Testing, Dependency Injection",Arch Patterns Ch 3-6 (cosmicpython.com FREE),Free Book,cosmicpython.com Ch 4-5 (service layer + TDD diagrams),https://www.cosmicpython.com/book/chapter_04_service_layer.html,1hr,NICE,Diagrams showing how service layer connects to the rest,Compare to your FastAPI → run_ops_agent() → response flow,NOT_STARTED,,,,,
61,12,core,Phase 3: Python Architecture Patterns,Event-Driven Architecture and Message Bus,Arch Patterns Ch 7-11 (cosmicpython.com FREE),Udemy,Event Driven Architecture — The Complete Guide,https://www.udemy.com/course/event-driven-architecture-the-complete-guide/,3hr,MUST,"Events, Event Sourcing, CQRS — starts from basics up to advanced",Follow along with event-driven sections,NOT_STARTED,,,,,
62,12,core,Phase 3: Python Architecture Patterns,Event-Driven Architecture and Message Bus,Arch Patterns Ch 7-11 (cosmicpython.com FREE),YouTube,ArjanCodes: Event-Driven Architecture in Python,https://www.youtube.com/results?search_query=arjancodes+event+driven+architecture+python,30min,MUST,Event-driven specifically in Python,Map your Paystack webhook flow to event-driven pattern,NOT_STARTED,,,,,
63,12,core,Phase 3: Python Architecture Patterns,Event-Driven Architecture and Message Bus,Arch Patterns Ch 7-11 (cosmicpython.com FREE),YouTube,Search: events vs commands software architecture,https://www.youtube.com/results?search_query=events+vs+commands+software+architecture+explained,30min,NICE,Distinction between commands and events,Label: webhook = event source. Order confirmation = command. Notification = event handler,NOT_STARTED,,,,,
64,12,core,Phase 3: Python Architecture Patterns,Event-Driven Architecture and Message Bus,Arch Patterns Ch 7-11 (cosmicpython.com FREE),Free Book,cosmicpython.com Ch 8-9 (events + message bus — uses Redis pub/sub),https://www.cosmicpython.com/book/chapter_08_events_and_message_bus.html,1hr,NICE,Excellent diagrams — Ch 11 uses Redis pub/sub and you have Redis running,"DELIVERABLE: Draw Paystack webhook flow as event diagram — webhook = event source, order confirmation = command, customer notification = event handler",NOT_STARTED,,,,,
65,13,core,Phase 3: Python Architecture Patterns,CQRS and Dependency Injection,Arch Patterns Ch 12-13 (cosmicpython.com FREE),YouTube,A practical introduction to event sourcing and CQRS,https://www.youtube.com/watch?v=cUXi9fUqWQ0,45min,MUST,Your Postgres (write) + MongoDB analytical tables (read) IS CQRS,Write the CQRS interview answer,NOT_STARTED,,,,,
66,13,core,Phase 3: Python Architecture Patterns,CQRS and Dependency Injection,Arch Patterns Ch 12-13 (cosmicpython.com FREE),YouTube,ArjanCodes — search CQRS on channel,https://www.youtube.com/results?search_query=arjancodes+CQRS+explained,30min,NICE,CQRS in Python context,Solidify understanding with Python examples,NOT_STARTED,,,,,
67,13,core,Phase 3: Python Architecture Patterns,CQRS and Dependency Injection,Arch Patterns Ch 12-13 (cosmicpython.com FREE),Free Book,cosmicpython.com Ch 12-13 (CQRS + DI diagrams),https://www.cosmicpython.com/book/chapter_12_cqrs.html,1hr,NICE,DI with closures and partials — Pythonic approach,DELIVERABLE: Write interview answer — 'We use CQRS where operational data lives in Postgres and analytical views are materialized into read-optimized tables via MongoDB batch aggregation pipelines',NOT_STARTED,,,,,
68,14,core,Phase 4: Data Systems,Data Systems Tradeoffs + Data Engineering Lifecycle,DDIA Ch 1-2 + DMLS Ch 3 + FDE Ch 1-3,Book (NEED TO BUY),SPARE NEEDED (was DMLS) — Ch 3: Data Engineering Fundamentals,You own this book,2hr,MUST,"OLTP vs OLAP, ETL, data formats, data storage — covers DDIA Ch 1-3 + FDE Ch 2-3 territory",Note: your Postgres = OLTP. MongoDB analytical layer = OLAP workload,NOT_STARTED,,,,,
69,14,core,Phase 4: Data Systems,Data Systems Tradeoffs + Data Engineering Lifecycle,DDIA Ch 1-2 + DMLS Ch 3 + FDE Ch 1-3,YouTube,Martin Kleppmann: Distributed Systems Lectures (first 2-3),https://www.youtube.com/playlist?list=PLeKd45zvjcDFUEv_ohr_HdUFe97RItdiB,2hr,MUST,"Cambridge university lectures — deep, structured, not interviews",Take notes on reliability vs scalability vs maintainability,NOT_STARTED,,,,,
70,14,core,Phase 4: Data Systems,Data Systems Tradeoffs + Data Engineering Lifecycle,DDIA Ch 1-2 + DMLS Ch 3 + FDE Ch 1-3,YouTube,ByteByteGo: OLTP vs OLAP Explained in 5 Minutes,https://www.youtube.com/watch?v=6-VVu68hbgw,5min,MUST,Your Postgres (OLTP) vs MongoDB analytical layer (OLAP) — now you know the name,Write one sentence mapping your databases to OLTP/OLAP,NOT_STARTED,,,,,
71,14,core,Phase 4: Data Systems,Data Systems Tradeoffs + Data Engineering Lifecycle,DDIA Ch 1-2 + DMLS Ch 3 + FDE Ch 1-3,YouTube,ByteByteGo — scalability + reliability + data engineering videos,https://www.youtube.com/@ByteByteGo,1hr,MUST,10-min animated explainers on DDIA concepts,Watch 4-6 relevant videos,NOT_STARTED,,,,,
72,14,core,Phase 4: Data Systems,Data Systems Tradeoffs + Data Engineering Lifecycle,DDIA Ch 1-2 + DMLS Ch 3 + FDE Ch 1-3,Exercise,Map your data pipeline to formal lifecycle,N/A,1hr,MUST,Your pipeline IS the data engineering lifecycle,DELIVERABLE: Labeled diagram — tgmon.db (source/generation) → sync_to_neon.py (ingestion) → MongoDB aggregation (transformation) → Neon al_supply_stats/al_demand_stats (serving),NOT_STARTED,,,,,
73,15,core,Phase 4: Data Systems,"Data Models, Storage, Vector Embeddings",DDIA Ch 3-5,YouTube,ByteByteGo: Relational vs Document databases + B-Tree vs LSM-Tree,https://www.youtube.com/results?search_query=bytebytego+relational+vs+document+database+b-tree,1hr,MUST,Why you use Postgres (relational) + MongoDB (document) — explain the tradeoff,Write interview answer for your dual-database choice,NOT_STARTED,,,,,
74,15,core,Phase 4: Data Systems,"Data Models, Storage, Vector Embeddings",DDIA Ch 3-5,YouTube,Search: HNSW vector index explained visually,https://www.youtube.com/results?search_query=HNSW+vector+index+explained+visually,30min,MUST,THIS is YOUR index on DamiraAI's pgvector,Explain HNSW to an interviewer in 2 sentences,NOT_STARTED,,,,,
75,15,core,Phase 4: Data Systems,"Data Models, Storage, Vector Embeddings",DDIA Ch 3-5,YouTube,Pinecone: Vector Embeddings Explained,https://www.youtube.com/results?search_query=pinecone+vector+embeddings+explained,30min,MUST,"How embeddings work, cosine similarity",Connect to your text-embedding-3-small model choice,NOT_STARTED,,,,,
76,15,core,Phase 4: Data Systems,"Data Models, Storage, Vector Embeddings",DDIA Ch 3-5,YouTube,Hussein Nasser: PostgreSQL indexing deep dive,https://www.youtube.com/results?search_query=hussein+nasser+postgresql+indexing+explained,1hr,NICE,Database indexing internals,Take notes on index types and when to use each,NOT_STARTED,,,,,
77,15,core,Phase 4: Data Systems,"Data Models, Storage, Vector Embeddings",DDIA Ch 3-5,YouTube,ByteByteGo: REST vs RPC + Event-Driven Architecture,https://www.youtube.com/results?search_query=bytebytego+REST+vs+RPC+event+driven,30min,NICE,Your webhook architecture = dataflow through services (REST),Map your API design to REST patterns,NOT_STARTED,,,,,
78,16,core,Phase 4: Data Systems,"Data Architecture, Technology Choices",FDE Ch 3-4 + DMLS Ch 10,Book (NEED TO BUY),SPARE NEEDED (was DMLS) — Ch 10: Infrastructure and Tooling for MLOps,You own this book,1-2hr,MUST,MLOps tooling — CI/CD for ML. Your biggest infra gap,Note what tooling patterns you're missing,NOT_STARTED,,,,,
79,16,core,Phase 4: Data Systems,"Data Architecture, Technology Choices",FDE Ch 3-4 + DMLS Ch 10,YouTube,ByteByteGo: ETL vs ELT + Data Lake vs Data Warehouse,https://www.youtube.com/results?search_query=bytebytego+ETL+vs+ELT+data+lake+warehouse,1hr,MUST,Your pipeline does ETL (extract from tgmon → transform in MongoDB → load to Neon),Write interview answer explaining your ETL choice,NOT_STARTED,,,,,
80,16,core,Phase 4: Data Systems,"Data Architecture, Technology Choices",FDE Ch 3-4 + DMLS Ch 10,YouTube,Search: data architecture principles loosely coupled,https://www.youtube.com/results?search_query=data+architecture+principles+loosely+coupled+2024,30min,NICE,Architecture principles that apply to your system,Map principles: OpenRouter = choose components wisely. Agents don't share state = loosely coupled. Model registry = reversible decisions,NOT_STARTED,,,,,
81,17,core,Phase 4: Data Systems,"Transactions, Batch/Stream Processing, Orchestration",DDIA Ch 8 + 11-12 + DMLS Ch 7 + LLM Eng Handbook Ch 10,Book (OWNED),LLM Engineer's Handbook — Ch 10: Inference Pipeline Deployment,You own this book,2hr,MUST,Deployment patterns — maps to your Docker/VPS deploy setup,Note deployment patterns you could adopt,NOT_STARTED,,,,,
82,17,core,Phase 4: Data Systems,"Transactions, Batch/Stream Processing, Orchestration",DDIA Ch 8 + 11-12 + DMLS Ch 7 + LLM Eng Handbook Ch 10,Book (NEED TO BUY),SPARE NEEDED (was DMLS) — Ch 7: Model Deployment and Prediction Service,You own this book,1-2hr,NICE,Deployment patterns — universal concepts,Note batch vs real-time serving patterns,NOT_STARTED,,,,,
83,17,core,Phase 4: Data Systems,"Transactions, Batch/Stream Processing, Orchestration",DDIA Ch 8 + 11-12 + DMLS Ch 7 + LLM Eng Handbook Ch 10,YouTube,Kleppmann: Turning the database inside out (Strange Loop),https://www.youtube.com/results?search_query=kleppmann+turning+the+database+inside+out,45min,MUST,THE talk on stream processing — your pipeline in formal terms,Take notes on derived data and materialized views,NOT_STARTED,,,,,
84,17,core,Phase 4: Data Systems,"Transactions, Batch/Stream Processing, Orchestration",DDIA Ch 8 + 11-12 + DMLS Ch 7 + LLM Eng Handbook Ch 10,YouTube,ByteByteGo: ACID Explained + Database Transactions + Batch vs Stream,https://www.youtube.com/results?search_query=bytebytego+ACID+database+transactions+batch+stream,1hr,MUST,ACID for your installment payments + batch vs stream for your pipelines,Write 3 interview sentences: Monday pipeline = batch ETL. Paystack webhook = stream. Installments need ACID.,NOT_STARTED,,,,,
85,17,core,Phase 4: Data Systems,"Transactions, Batch/Stream Processing, Orchestration",DDIA Ch 8 + 11-12 + DMLS Ch 7 + LLM Eng Handbook Ch 10,YouTube,Prefect: Mastering Workflow Automation with Python,https://www.youtube.com/watch?v=VR4UjPOADEQ,1hr,MUST,Replaces your launchd cron with proper orchestrator,Plan your Monday pipeline migration from launchd to Prefect,NOT_STARTED,,,,,
86,17,core,Phase 4: Data Systems,"Transactions, Batch/Stream Processing, Orchestration",DDIA Ch 8 + 11-12 + DMLS Ch 7 + LLM Eng Handbook Ch 10,YouTube,Prefect Workflow Orchestration: Beginner's Guide Part 1,https://www.youtube.com/watch?v=4Lnzn4lw9ig,30min,MUST,"Prefect v3 from scratch — flows, tasks, decorators, scheduling",DELIVERABLE: Migrate your Monday pipeline from launchd to Prefect (or at least prototype it),NOT_STARTED,,,,,
87,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,Udemy,System Design Masterclass (2026) — watch 2-3 worked examples,https://www.udemy.com/course/system-design-masterclass/,2hr,MUST,Learn how to STRUCTURE system design answers,Practice the framework with your own systems,NOT_STARTED,,,,,
88,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,YouTube,ByteByteGo system design walkthroughs,https://www.youtube.com/@ByteByteGo,1hr,MUST,Watch how they structure design answers — adopt the format,Practice explaining your architecture in this format,NOT_STARTED,,,,,
89,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,Book (FREE),Chip Huyen AI Engineering — Study Notes (GitHub),https://github.com/chiphuyen/aie-book/blob/main/study-notes.md,1hr,MUST,Review all study notes as a final vocabulary refresher,Quiz yourself on key terms,NOT_STARTED,,,,,
90,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,Coursera (free audit),MLOps and LLMOps: Deploying and Scaling AI in Production,https://www.coursera.org/learn/mlops-and-llmops-deploying-and-scaling-ai-in-production,4 weeks,NICE,"Model serving, RAG deployment, observability, canary deploys",Audit free — watch video lectures,NOT_STARTED,,,,,
91,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,Coursera (free audit),Agentic AI with LangChain and LangGraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,3 weeks,NICE,"Stateful workflows, memory, conditional logic",Audit free — reinforce agent concepts,NOT_STARTED,,,,,
92,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,Practice,Draw 3 system design diagrams,N/A,3hr,MUST,"DamiraAI (coordinator+5 subagents+RAG+eval), AuraLogical (scraping→MongoDB→Postgres→agents→Telegram), Shared Platform (3 apps+VPS+CF Workers+Neon+Redis+Langfuse)",DELIVERABLE: 3 clean diagrams you can draw on a whiteboard in 5 minutes each,NOT_STARTED,,,,,
93,18,core,Phase 5: Interview Prep,System Design Practice + Failure Stories,All sources — synthesis and interview readiness,Practice,Rehearse 5 failure stories (STAR format),N/A,2hr,MUST,(1) Tool call JSON leak → sanitization. (2) Empty responses → fallback. (3) Thinking preamble leak → regex. (4) Intent misclass → golden test set. (5) Context overflow → subagent refactor,DELIVERABLE: 5 polished 2-minute stories you can tell without notes,NOT_STARTED,,,,,
,,header,,,,,,,,,,,,,,,,
,,header,,HANDS-ON NOTEBOOK LABS (Free Jupyter/Colab — do alongside each phase),,,,,,,,,,,,,,
,,header,,,,,,,,,,,,,,,,
94,,lab,Lab: Phase 1,Transformers + Tokenization + Attention (Weeks 2-3),Ch 2 hands-on,Notebook (FREE),Clemson: Attention Transformers and LLMs — hands-on PyTorch workshop,https://clemsonciti.github.io/rcde_workshops/pytorch_llm/00-index.html,2-3hr,MUST,"Build tokenizer, attention, transformer from scratch in notebooks — closes your Week 2 gaps",Run notebooks. See tokenization + attention working in code,NOT_STARTED,,,,,
95,,lab,Lab: Phase 1,LLM Internals Step by Step (Weeks 2-3),Ch 2 hands-on,Notebook (FREE),GitHub: amitshekhariitbhu/llm-internals — tokenization to attention to inference,https://github.com/amitshekhariitbhu/llm-internals,2hr,MUST,"Step-by-step notebooks: tokenization, embeddings, attention, inference optimization",Work through each notebook in order,NOT_STARTED,,,,,
96,,lab,Lab: Phase 1,LLM Course Colab Notebooks (Weeks 1-6),Full Phase 1 lab companion,Notebook (FREE),GitHub: mlabonne/llm-course — LLM roadmap with Colab notebooks,https://github.com/mlabonne/llm-course,3-4hr,MUST,"Full LLM course with runnable Colab notebooks — tokenization, prompting, evaluation, RAG intro",Cherry-pick notebooks that match your weekly topic. Don't do all of them,NOT_STARTED,,,,,
97,,lab,Lab: Phase 1,Prompt Engineering Lab (Week 6),Ch 5 hands-on,Notebook (FREE),DeepLearning.AI: ChatGPT Prompt Engineering for Developers,https://learn.deeplearning.ai/courses/chatgpt-prompt-eng/,1hr,MUST,Interactive notebooks — prompt patterns + system prompts + output formatting,Complete the notebooks — map to your CS bot prompt hardening,NOT_STARTED,,,,,
98,,lab,Lab: Phase 1,Structured Output + Function Calling Lab (Week 3),Ch 2 hands-on,Notebook (FREE),DeepLearning.AI: Functions Tools and Agents with LangChain,https://learn.deeplearning.ai/courses/functions-tools-agents-langchain/,1hr,MUST,"Hands-on function calling, tool use, structured output in notebooks",Compare to your LangChain tool definitions in market_tools.py,NOT_STARTED,,,,,
,,header,,,,,,,,,,,,,,,,
99,,lab,Lab: Phase 2,RAG End-to-End Lab (Week 7),Ch 6 hands-on,Notebook (FREE),DeepLearning.AI: Building and Evaluating Advanced RAG,https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,1hr,MUST,Build RAG pipeline in notebook: chunk → embed → retrieve → generate → evaluate,Map to DamiraAI RAG pipeline,NOT_STARTED,,,,,
100,,lab,Lab: Phase 2,Agentic RAG Lab (Week 8),Ch 6 agents hands-on,Notebook (FREE),DeepLearning.AI: Building Agentic RAG with LlamaIndex,https://www.deeplearning.ai/short-courses/building-agentic-rag-with-llamaindex/,1hr,MUST,Agents that decide when/how to retrieve — your coordinator-subagent pattern in notebook form,Compare agentic retrieval to your multi-agent routing,NOT_STARTED,,,,,
101,,lab,Lab: Phase 2,LangGraph Agents Lab (Week 8),Ch 6 agents hands-on,Notebook (FREE),DeepLearning.AI: AI Agents in LangGraph,https://learn.deeplearning.ai/courses/ai-agents-in-langgraph/,1hr,MUST,"Stateful agent workflows — planning, tool use, memory in LangGraph notebooks",Compare to your ops_agent tool-calling loop,NOT_STARTED,,,,,
102,,lab,Lab: Phase 2,LangChain Application Dev Lab (Week 7-8),Ch 6 hands-on,Notebook (FREE),DeepLearning.AI: LangChain for LLM Application Development,https://learn.deeplearning.ai/courses/langchain/,1hr,NICE,"LangChain fundamentals — chains, agents, memory in notebooks",You already use LangChain — solidify formal patterns,NOT_STARTED,,,,,
103,,lab,Lab: Phase 2,Observability Lab (Week 9),Ch 10 hands-on,Notebook (FREE),DeepLearning.AI: Building Systems with the ChatGPT API,https://learn.deeplearning.ai/courses/chatgpt-building-system/,1hr,NICE,Multi-step systems: classification → routing → evaluation — your agent architecture in notebook form,Map their routing pattern to your model_registry + intent routing,NOT_STARTED,,,,,
,,header,,,,,,,,,,,,,,,,
,,header,,FINETUNING CONTEXT (Read once — know when NOT to fine-tune),,,,,,,,,,,,,,
104,,optional,Optional,When to Fine-tune vs RAG,Chip Huyen Ch 7 + LLM Eng Handbook Ch 5-6,Book (FREE),Chip Huyen AI Engineering — Ch 7 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,NICE,"Know WHEN to fine-tune vs RAG — you chose RAG for DamiraAI, be able to explain WHY",Read summary — note 'finetuning is easy but getting data is hard',NOT_STARTED,,,,,
105,,optional,Optional,When to Fine-tune vs RAG,Chip Huyen Ch 7 + LLM Eng Handbook Ch 5-6,Book (OWNED),LLM Engineer's Handbook — Ch 5: Supervised Fine-tuning (skim),You own this book,1hr,NICE,Skim — understand the process enough to say why you chose RAG instead,Note: you chose RAG because vendor docs change frequently + you need source attribution + cheaper,NOT_STARTED,,,,,
106,,optional,Optional,When to Fine-tune vs RAG,Chip Huyen Ch 7 + LLM Eng Handbook Ch 5-6,Book (OWNED),LLM Engineer's Handbook — Ch 6: Preference Alignment (skim),You own this book,1hr,NICE,RLHF/DPO concepts — know the terms even if you don't do this,Be able to explain RLHF in 2 sentences if asked,NOT_STARTED,,,,,
,,header,,,,,,,,,,,,,,,,
,,header,,INFERENCE OPTIMIZATION (Read once — know the concepts),,,,,,,,,,,,,,
107,,optional,Optional,Inference Optimization,Chip Huyen Ch 9 + LLM Eng Handbook Ch 8,Book (FREE),Chip Huyen AI Engineering — Ch 9 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,NICE,"Inference metrics, model optimization, service optimization",Know TTFT and TPS concepts for interviews,NOT_STARTED,,,,,
108,,optional,Optional,Inference Optimization,Chip Huyen Ch 9 + LLM Eng Handbook Ch 8,Book (OWNED),LLM Engineer's Handbook — Ch 8: Inference Optimization,You own this book,1-2hr,NICE,"Quantization, batching, caching at inference layer",Know these concepts at vocabulary level,NOT_STARTED,,,,,
,,header,,,,,,,,,,,,,,,,
,,header,,DATASET ENGINEERING (Read if time allows),,,,,,,,,,,,,,
109,,optional,Optional,Dataset Engineering,Chip Huyen Ch 8,Book (FREE),Chip Huyen AI Engineering — Ch 8 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,NICE,"Data quality, curation, synthetic data — relevant if you ever fine-tune",Note: 'a small amount of high-quality data can outperform a large amount of noisy data',NOT_STARTED,,,,,
110,3,lab,Phase 1: AI Engineering Core,Intent Classification + Deterministic Routing,Ch 2-3 applied,Custom Notebook,"01_intent_classification.ipynb — AuraLogical + DamiraAI regex classifiers, golden test sets, adversarial testing",notebooks/01_intent_classification.ipynb,1-2hr,MUST,"cs_tools.py (AuraLogical), router.py (DamiraAI), ceo_brain.py mode detection",Run notebook. Review misclassified cases. Practice 3 interview scripts out loud.,NOT_STARTED,,,,,
111,5,lab,Phase 1: AI Engineering Core,Model Selection and Cost/Latency Tradeoffs,Ch 4 applied,Custom Notebook,"02_model_registry.ipynb — 12-agent fleet cost analysis, migration projection, cost-latency frontier chart",notebooks/02_model_registry.ipynb,1-2hr,MUST,model_registry.py — real 12-agent registry with OpenRouter pricing,Run notebook. Study cost-latency chart. Practice drawing it on whiteboard.,NOT_STARTED,,,,,
112,8,lab,Phase 2: RAG + Agents + Architecture,"Agents, Tools, Failure Modes",Ch 6 applied,Custom Notebook,"04_tool_calling_agent.ipynb — Repository pattern, tool dispatcher, 3 failure modes (empty results, wrong tool, bad args)",notebooks/04_tool_calling_agent.ipynb,1-2hr,MUST,"market_tools.py — 20 LangChain tools, Postgres→SQLite translation",Run notebook. Add a new tool. Practice 3 interview scripts out loud.,NOT_STARTED,,,,,
113,14,lab,Phase 4: Data Systems,Data Systems — DDIA Concepts in Production,DDIA Ch 1-12 applied,Custom Notebook,"07_data_systems_ddia.ipynb — OLTP vs OLAP, batch ETL, ACID webhook, caching with fallback, CQRS architecture diagram",notebooks/07_data_systems_ddia.ipynb,2-3hr,MUST,"push_to_neon.py, main.py (Paystack webhook), content_director.py (Redis cache), weekly_pipeline.sh",Run notebook. Practice drawing CQRS architecture diagram on whiteboard in 3 min. INTERVIEW DIAGRAM #3.,NOT_STARTED,,,,,
114,4,lab,Phase 1: AI Engineering Core,Evaluation Methodology — THE Differentiator,Ch 3-4 applied,Custom Notebook (PENDING),"03_evaluation_framework.ipynb — LLM-as-Judge rubrics, weighted scoring, deterministic validators, regression testing (AuraLogical + DamiraAI)",notebooks/03_evaluation_framework.ipynb,2hr,MUST,"evaluation/base.py, rubrics/auralogical.py, runner.py (AuraLogical) + test_intent_classifier_vs_regex.py, lab_quality/ (DamiraAI)",Run notebook. Implement weighted score calculation. Practice 3 interview scripts.,NOT_STARTED,,,,Notebook not yet built,
115,7,lab,Phase 2: RAG + Agents + Architecture,RAG Architecture,Ch 6 applied,Custom Notebook (PENDING),"05_rag_pipeline.ipynb — Hybrid search (semantic + BM25 via RRF), reranking (FlashRank), chunking strategies. INTERVIEW DIAGRAM #1.",notebooks/05_rag_pipeline.ipynb,2-3hr,MUST,"DamiraAI: rag/search.py (hybrid_search), rag/rerank.py (FlashRank), rag/embeddings.py, rag/ingest/base.py",Run notebook. Compare semantic vs keyword vs hybrid retrieval. Practice drawing RAG diagram. INTERVIEW DIAGRAM #1.,NOT_STARTED,,,,Notebook not yet built,
116,9,lab,Phase 2: RAG + Agents + Architecture,AI System Architecture and Observability,Ch 6 + 10 applied,Custom Notebook (PENDING),"06_multi_agent_coordinator.ipynb — Coordinator-subagent routing, PII redaction (smart IP strategy), response sanitization (tool JSON leak + thinking preamble). INTERVIEW DIAGRAM #2.",notebooks/06_multi_agent_coordinator.ipynb,2hr,MUST,"DamiraAI: coordinator_v2.py, subagents/base.py, pii/redactor.py + AuraLogical: ceo_brain.py _sanitize_response()",Run notebook. Chain: redact PII → route → sanitize response. Practice 3 interview scripts. INTERVIEW DIAGRAM #2.,NOT_STARTED,,,,Notebook not yet built,
